cartodb_id,the_geom,number,borough,eachdate
638,,10,BROOKLYN,2010-06-08
639,,2,QUEENS,2010-06-08
640,,2,STATEN ISLAND,2010-06-08
641,,11,BRONX,2010-06-08
642,,53,BRONX,2010-06-09
643,,1,STATEN ISLAND,2010-06-09
644,,8,QUEENS,2010-06-09
645,,16,BROOKLYN,2010-06-09
646,,7,MANHATTAN,2010-06-09
647,,1,STATEN ISLAND,2010-06-10
648,,6,QUEENS,2010-06-10
649,,9,BROOKLYN,2010-06-10
650,,8,MANHATTAN,2010-06-10
651,,36,BRONX,2010-06-10
652,,1,STATEN ISLAND,2010-06-11
653,,53,BRONX,2010-06-11
654,,8,QUEENS,2010-06-11
655,,15,MANHATTAN,2010-06-11
656,,18,BROOKLYN,2010-06-11
657,,1,BRONX,2010-06-12
658,,4,QUEENS,2010-06-12
659,,3,STATEN ISLAND,2010-06-12
660,,5,BROOKLYN,2010-06-13
661,,1,MANHATTAN,2010-06-13
662,,58,BRONX,2010-06-14
663,,8,QUEENS,2010-06-14
664,,17,MANHATTAN,2010-06-14
665,,14,BROOKLYN,2010-06-14
666,,2,STATEN ISLAND,2010-06-14
667,,10,MANHATTAN,2010-06-15
668,,25,BROOKLYN,2010-06-15
669,,53,BRONX,2010-06-15
670,,17,QUEENS,2010-06-15
671,,55,BRONX,2010-06-16
672,,12,BROOKLYN,2010-06-16
673,,18,QUEENS,2010-06-16
674,,8,MANHATTAN,2010-06-16
675,,1,STATEN ISLAND,2010-06-17
676,,14,BROOKLYN,2010-06-17
677,,5,QUEENS,2010-06-17
678,,11,MANHATTAN,2010-06-17
679,,44,BRONX,2010-06-17
680,,13,QUEENS,2010-06-18
681,,29,BROOKLYN,2010-06-18
682,,6,BRONX,2010-06-18
683,,25,MANHATTAN,2010-06-18
684,,5,BROOKLYN,2010-06-19
685,,2,BRONX,2010-06-19
686,,3,QUEENS,2010-06-19
687,,3,MANHATTAN,2010-06-19
688,,1,MANHATTAN,2010-06-20
689,,1,BRONX,2010-06-20
690,,10,BRONX,2010-06-21
691,,21,QUEENS,2010-06-21
692,,19,BROOKLYN,2010-06-21
693,,2,STATEN ISLAND,2010-06-21
694,,3,MANHATTAN,2010-06-21
695,,14,QUEENS,2010-06-22
696,,6,BRONX,2010-06-22
697,,29,MANHATTAN,2010-06-22
698,,11,BROOKLYN,2010-06-22
699,,7,QUEENS,2010-06-23
700,,16,BROOKLYN,2010-06-23
701,,7,MANHATTAN,2010-06-23
702,,48,BRONX,2010-06-23
703,,9,MANHATTAN,2010-06-24
704,,27,BRONX,2010-06-24
705,,2,STATEN ISLAND,2010-06-24
706,,10,QUEENS,2010-06-24
707,,13,BROOKLYN,2010-06-24
708,,5,MANHATTAN,2010-06-25
709,,25,QUEENS,2010-06-25
710,,1,STATEN ISLAND,2010-06-25
711,,54,BRONX,2010-06-25
712,,10,BROOKLYN,2010-06-25
713,,1,MANHATTAN,2010-06-26
714,,3,QUEENS,2010-06-26
715,,3,BROOKLYN,2010-06-27
716,,3,QUEENS,2010-06-27
717,,67,MANHATTAN,2010-06-28
718,,20,QUEENS,2010-06-28
719,,4,BRONX,2010-06-28
720,,11,BROOKLYN,2010-06-28
721,,41,QUEENS,2010-06-29
722,,14,BROOKLYN,2010-06-29
723,,20,BRONX,2010-06-29
724,,13,MANHATTAN,2010-06-29
725,,16,QUEENS,2010-06-30
726,,34,MANHATTAN,2010-06-30
727,,46,BRONX,2010-06-30
